"game_play_number","id","sequence_number","type_id","type_text","text","away_score","home_score","period_number","period_display_value","clock_display_value","scoring_play","score_value","team_id","athlete_id_1","wallclock","shooting_play","game_id","season","season_type","home_team_id","home_team_name","home_team_mascot","home_team_abbrev","home_team_name_alt","away_team_id","away_team_name","away_team_mascot","away_team_abbrev","away_team_name_alt","game_spread","home_favorite","game_spread_available","home_team_spread","half","time","clock_minutes","clock_seconds","home_timeout_called","away_timeout_called","lead_period","lead_half","start_period_seconds_remaining","start_game_seconds_remaining","end_period_seconds_remaining","end_game_seconds_remaining","lag_period","lag_half","athlete_id_2","game_date","game_date_time","media_id","coordinate_x_raw","coordinate_y_raw","coordinate_x","coordinate_y"
1,401638645101799872,101799901,615,"Jumpball","Jump Ball won by Purdue",0,0,1,"1st Half","20:00",FALSE,0,2509,NA,"2024-04-09T01:21:33Z",FALSE,401638645,2024,3,41,"UConn","Huskies","CONN","UConn",2509,"Purdue","Boilermakers","PUR","Purdue",2.5,TRUE,FALSE,2.5,1,"20:00",20,0,FALSE,FALSE,1,1,1200,2400,1200,2400,NA,NA,NA,2024-04-08,2024-04-08 21:20:00,NA,25,0,-41.75,0
2,401638645101806592,101806601,558,"JumpShot","Zach Edey missed Jumper.",0,0,1,"1st Half","19:33",FALSE,2,2509,4600663,"2024-04-09T01:22:08Z",TRUE,401638645,2024,3,41,"UConn","Huskies","CONN","UConn",2509,"Purdue","Boilermakers","PUR","Purdue",2.5,TRUE,FALSE,2.5,1,"19:33",19,33,FALSE,FALSE,1,1,1173,2373,1173,2373,1,1,NA,2024-04-08,2024-04-08 21:20:00,NA,25,10,-31.75,0
3,401638645101806592,101806602,587,"Defensive Rebound","Stephon Castle Defensive Rebound.",0,0,1,"1st Half","19:33",FALSE,0,41,4845367,"2024-04-09T01:22:08Z",FALSE,401638645,2024,3,41,"UConn","Huskies","CONN","UConn",2509,"Purdue","Boilermakers","PUR","Purdue",2.5,TRUE,FALSE,2.5,1,"19:33",19,33,FALSE,FALSE,1,1,1173,2373,1167,2367,1,1,NA,2024-04-08,2024-04-08 21:20:00,NA,25,0,41.75,0
4,401638645101807232,101807201,615,"Jumpball","Jump Ball won by UConn",0,0,1,"1st Half","19:27",FALSE,0,41,NA,"2024-04-09T01:22:08Z",FALSE,401638645,2024,3,41,"UConn","Huskies","CONN","UConn",2509,"Purdue","Boilermakers","PUR","Purdue",2.5,TRUE,FALSE,2.5,1,"19:27",19,27,FALSE,FALSE,1,1,1167,2367,1155,2355,1,1,NA,2024-04-08,2024-04-08 21:20:00,NA,25,0,41.75,0
5,401638645101808384,101808401,558,"JumpShot","Alex Karaban missed Three Point Jumper.",0,0,1,"1st Half","19:15",FALSE,3,41,4917149,"2024-04-09T01:22:38Z",TRUE,401638645,2024,3,41,"UConn","Huskies","CONN","UConn",2509,"Purdue","Boilermakers","PUR","Purdue",2.5,TRUE,FALSE,2.5,1,"19:15",19,15,FALSE,FALSE,1,1,1155,2355,1155,2355,1,1,NA,2024-04-08,2024-04-08 21:20:00,NA,7,19,22.75,18
6,401638645101808384,101808402,587,"Defensive Rebound","Braden Smith Defensive Rebound.",0,0,1,"1st Half","19:15",FALSE,0,2509,5105854,"2024-04-09T01:22:38Z",FALSE,401638645,2024,3,41,"UConn","Huskies","CONN","UConn",2509,"Purdue","Boilermakers","PUR","Purdue",2.5,TRUE,FALSE,2.5,1,"19:15",19,15,FALSE,FALSE,1,1,1155,2355,1140,2340,1,1,NA,2024-04-08,2024-04-08 21:20:00,NA,25,0,-41.75,0
7,401638645101809920,101809901,558,"JumpShot","Trey Kaufman-Renn made Jumper.",2,0,1,"1st Half","19:00",TRUE,2,2509,4897438,"2024-04-09T01:22:48Z",TRUE,401638645,2024,3,41,"UConn","Huskies","CONN","UConn",2509,"Purdue","Boilermakers","PUR","Purdue",2.5,TRUE,FALSE,2.5,1,"19:00",19,0,FALSE,FALSE,1,1,1140,2340,1120,2320,1,1,NA,2024-04-08,2024-04-08 21:20:00,NA,29,8,-33.75,4
8,401638645101815872,101815901,558,"JumpShot","Cam Spencer made Three Point Jumper. Assisted by Stephon Castle.",2,3,1,"1st Half","18:40",TRUE,3,41,4433083,"2024-04-09T01:23:08Z",TRUE,401638645,2024,3,41,"UConn","Huskies","CONN","UConn",2509,"Purdue","Boilermakers","PUR","Purdue",2.5,TRUE,FALSE,2.5,1,"18:40",18,40,FALSE,FALSE,1,1,1120,2320,1092,2292,1,1,4845367,2024-04-08,2024-04-08 21:20:00,NA,44,13,28.75,-19
9,401638645101818688,101818701,572,"LayUpShot","Lance Jones made Layup.",4,3,1,"1st Half","18:12",TRUE,2,2509,4432002,"2024-04-09T01:23:48Z",TRUE,401638645,2024,3,41,"UConn","Huskies","CONN","UConn",2509,"Purdue","Boilermakers","PUR","Purdue",2.5,TRUE,FALSE,2.5,1,"18:12",18,12,FALSE,FALSE,1,1,1092,2292,1092,2292,1,1,NA,2024-04-08,2024-04-08 21:20:00,NA,28,1,-40.75,3
10,401638645101818688,101818702,519,"PersonalFoul","Foul on Tristen Newton.",4,3,1,"1st Half","18:12",FALSE,0,41,4592965,"2024-04-09T01:23:48Z",FALSE,401638645,2024,3,41,"UConn","Huskies","CONN","UConn",2509,"Purdue","Boilermakers","PUR","Purdue",2.5,TRUE,FALSE,2.5,1,"18:12",18,12,FALSE,FALSE,1,1,1092,2292,1092,2292,1,1,NA,2024-04-08,2024-04-08 21:20:00,NA,25,0,41.75,0
11,401638645101818688,101818703,540,"MadeFreeThrow","Lance Jones made Free Throw.",5,3,1,"1st Half","18:12",TRUE,1,2509,4432002,"2024-04-09T01:23:48Z",TRUE,401638645,2024,3,41,"UConn","Huskies","CONN","UConn",2509,"Purdue","Boilermakers","PUR","Purdue",2.5,TRUE,FALSE,2.5,1,"18:12",18,12,FALSE,FALSE,1,1,1092,2292,1073,2273,1,1,NA,2024-04-08,2024-04-08 21:20:00,NA,25,0,-41.75,0
12,401638645101824576,101824601,519,"PersonalFoul","Foul on Fletcher Loyer.",5,3,1,"1st Half","17:53",FALSE,0,2509,5105853,"2024-04-09T01:24:34Z",FALSE,401638645,2024,3,41,"UConn","Huskies","CONN","UConn",2509,"Purdue","Boilermakers","PUR","Purdue",2.5,TRUE,FALSE,2.5,1,"17:53",17,53,FALSE,FALSE,1,1,1073,2273,1073,2273,1,1,NA,2024-04-08,2024-04-08 21:20:00,NA,25,0,-41.75,0
13,401638645101824576,101824602,540,"MadeFreeThrow","Tristen Newton made Free Throw.",5,4,1,"1st Half","17:53",TRUE,1,41,4592965,"2024-04-09T01:24:34Z",TRUE,401638645,2024,3,41,"UConn","Huskies","CONN","UConn",2509,"Purdue","Boilermakers","PUR","Purdue",2.5,TRUE,FALSE,2.5,1,"17:53",17,53,FALSE,FALSE,1,1,1073,2273,1073,2273,1,1,NA,2024-04-08,2024-04-08 21:20:00,NA,25,0,41.75,0
14,401638645101824576,101824603,540,"MadeFreeThrow","Tristen Newton made Free Throw.",5,5,1,"1st Half","17:53",TRUE,1,41,4592965,"2024-04-09T01:24:34Z",TRUE,401638645,2024,3,41,"UConn","Huskies","CONN","UConn",2509,"Purdue","Boilermakers","PUR","Purdue",2.5,TRUE,FALSE,2.5,1,"17:53",17,53,FALSE,FALSE,1,1,1073,2273,1058,2258,1,1,NA,2024-04-08,2024-04-08 21:20:00,NA,25,0,41.75,0
15,401638645101826112,101826101,572,"LayUpShot","Trey Kaufman-Renn missed Layup.",5,5,1,"1st Half","17:38",FALSE,2,2509,4897438,"2024-04-09T01:25:35Z",TRUE,401638645,2024,3,41,"UConn","Huskies","CONN","UConn",2509,"Purdue","Boilermakers","PUR","Purdue",2.5,TRUE,FALSE,2.5,1,"17:38",17,38,FALSE,FALSE,1,1,1058,2258,1058,2258,1,1,NA,2024-04-08,2024-04-08 21:20:00,NA,23,0,-41.75,-2
16,401638645101826112,101826102,618,"Block Shot","Donovan Clingan Block.",5,5,1,"1st Half","17:38",FALSE,0,41,5105565,"2024-04-09T01:25:35Z",FALSE,401638645,2024,3,41,"UConn","Huskies","CONN","UConn",2509,"Purdue","Boilermakers","PUR","Purdue",2.5,TRUE,FALSE,2.5,1,"17:38",17,38,FALSE,FALSE,1,1,1058,2258,1058,2258,1,1,NA,2024-04-08,2024-04-08 21:20:00,NA,25,0,41.75,0
17,401638645101826112,101826103,587,"Defensive Rebound","Donovan Clingan Defensive Rebound.",5,5,1,"1st Half","17:38",FALSE,0,41,5105565,"2024-04-09T01:25:35Z",FALSE,401638645,2024,3,41,"UConn","Huskies","CONN","UConn",2509,"Purdue","Boilermakers","PUR","Purdue",2.5,TRUE,FALSE,2.5,1,"17:38",17,38,FALSE,FALSE,1,1,1058,2258,1043,2243,1,1,NA,2024-04-08,2024-04-08 21:20:00,NA,25,0,41.75,0
18,401638645101827584,101827601,572,"LayUpShot","Cam Spencer made Layup.",5,7,1,"1st Half","17:23",TRUE,2,41,4433083,"2024-04-09T01:25:50Z",TRUE,401638645,2024,3,41,"UConn","Huskies","CONN","UConn",2509,"Purdue","Boilermakers","PUR","Purdue",2.5,TRUE,FALSE,2.5,1,"17:23",17,23,FALSE,FALSE,1,1,1043,2243,1018,2218,1,1,NA,2024-04-08,2024-04-08 21:20:00,NA,27,0,41.75,-2
19,401638645101834112,101834101,558,"JumpShot","Zach Edey made Jumper. Assisted by Braden Smith.",7,7,1,"1st Half","16:58",TRUE,2,2509,4600663,"2024-04-09T01:26:15Z",TRUE,401638645,2024,3,41,"UConn","Huskies","CONN","UConn",2509,"Purdue","Boilermakers","PUR","Purdue",2.5,TRUE,FALSE,2.5,1,"16:58",16,58,FALSE,FALSE,1,1,1018,2218,1008,2208,1,1,5105854,2024-04-08,2024-04-08 21:20:00,NA,30,8,-33.75,5
20,401638645101835072,101835101,558,"JumpShot","Tristen Newton missed Jumper.",7,7,1,"1st Half","16:48",FALSE,2,41,4592965,"2024-04-09T01:26:25Z",TRUE,401638645,2024,3,41,"UConn","Huskies","CONN","UConn",2509,"Purdue","Boilermakers","PUR","Purdue",2.5,TRUE,FALSE,2.5,1,"16:48",16,48,FALSE,FALSE,1,1,1008,2208,1008,2208,1,1,NA,2024-04-08,2024-04-08 21:20:00,NA,24,11,30.75,1
21,401638645101835072,101835102,587,"Defensive Rebound","Trey Kaufman-Renn Defensive Rebound.",7,7,1,"1st Half","16:48",FALSE,0,2509,4897438,"2024-04-09T01:26:25Z",FALSE,401638645,2024,3,41,"UConn","Huskies","CONN","UConn",2509,"Purdue","Boilermakers","PUR","Purdue",2.5,TRUE,FALSE,2.5,1,"16:48",16,48,FALSE,FALSE,1,1,1008,2208,1004,2204,1,1,NA,2024-04-08,2024-04-08 21:20:00,NA,25,0,-41.75,0
