"team","two_pp","thr_pp","mis_p","oreb_p","sf_p","ft_p","tov_p","avg_poss","total"
"Abilene Christian Wildcats",0.283145779160745,0.0751933846519238,0.473999483048359,0.266119690666529,0.156661215003428,0.730063040264971,0.179323733273935,70.5587695243057,116.832359513839
"Adams State Grizzlies",0.297109151315515,0.0821246900009268,0.477033934131497,0.314075630252101,0.107033471930992,0.722689075630252,0.201144093405666,72.2877130018674,116.44453407846
"Air Force Falcons",0.232578305171272,0.141457788647854,0.45398430293379,0.234731435684206,0.121072919592206,0.687045319887951,0.190790735309489,62.6775085839305,113.988405165461
"Akron Zips",0.27439340387446,0.121225600381813,0.47997171957718,0.302736082430924,0.139288384225822,0.732988985193675,0.170798887768339,65.9232308653395,118.567799582761
"Alabama A&M Bulldogs",0.265875882339361,0.0611102511180627,0.452739256338831,0.318531937392501,0.183843215525222,0.721691215629508,0.228582465525154,70.4037333324021,119.215107084663
"Alabama Crimson Tide",0.267633886120687,0.154591278124829,0.464029018776049,0.347666549154611,0.155790527920375,0.770841836406584,0.162446062983603,72.7636588680746,120.449077392554
"Alabama State Hornets",0.245868504547221,0.100948398362663,0.59602466108,0.318822547198057,0.132652719763043,0.721181407651315,0.162586704667943,69.3035059070683,123.808098842087
"Albany St (GA) Golden Rams",0.150049776127658,0.187562220159572,0.47515762440425,0.230769230769231,0.218822590186168,0.657142857142857,0.150049776127658,79.9734615384615,118.16419870053
"Alcorn State Braves",0.305848024995051,0.0785548914004183,0.483561229229223,0.339941887943634,0.163312873815035,0.707434327859558,0.173184057678835,66.740193790921,120.446107711856
"Alice Lloyd College Eagles",0.216620258276257,0.12560518074543,0.638851119460025,0.174951737451737,0.0241230048191504,NA,0.111048600011016,71.8801221546311,111.624816331188
"American University Eagles",0.252021536055835,0.137802340452733,0.481611962452398,0.278119128764015,0.123676042220259,0.71375389938543,0.173204979741357,62.4020160045772,116.831686092258
"Anderson (SC) Trojans",0.303450846322761,0.105548120460091,0.593708177588011,0.395833333333333,0.118741635517602,0.5,0.145128665632625,75.7948125,126.657744552109
"Andrews University Cardinals",0.117466963562947,0.0469867854251789,0.552094728745852,0.177777777777778,0.0528601336033263,0.222222222222222,0.340654194332547,85.1303183183183,111.006280566985
"Angelo State Rams",0.187571438340774,0.0937857191703872,0.562714315022323,0.138888888888889,0.0781547659753226,0.8,0.17194048514571,63.975625,109.416672365452
"Antelope Valley",0.3698433722428,0.0510128789300413,0.459115910370372,0.342857142857143,0.0828959282613171,0.615384615384615,0.242311174917696,78.4115714285714,120.517926472223
"Appalachian State Mountaineers",0.32523076115732,0.0945969204596012,0.466911511765425,0.300354951308286,0.138102618087937,0.684881717711572,0.153603632238345,69.6622421062032,117.844544370863
"Apprentice School Builders",0.112351913025691,0.122421030914648,0.511372309753505,0.104037267080745,0.0864041431447985,0.535714285714286,0.239563066475372,75.1407524020184,107.211246331401
"Aquinas Saints",0.311912862782751,0.0813685728998481,0.461088579765806,0.314285714285714,0.061026429674886,0.777777777777778,0.244105718699544,73.7385428571429,115.950216382283
"Arcadia",0.203202211263098,0.0435433309849496,0.464462197172796,0.176470588235294,0.0943438838007241,0.692307692307692,0.290288873232997,68.8968880455408,109.584049645456
"Arizona State Sun Devils",0.258785829722609,0.096727202567727,0.497946226790636,0.217416230650041,0.140578139579707,0.648218652918359,0.150523683867622,69.6559154213957,114.45610825283
"Arizona Wildcats",0.317603705044186,0.107526386167655,0.453656032451919,0.350444915794665,0.160221809587055,0.713801402166684,0.163405772413469,73.3021356515876,120.241370566428
"Arkansas Baptist Buffaloes",0.226948082288705,0.0400496615803596,0.520645600544675,0.2,0.153523702724712,0.739130434782609,0.186898420708345,74.907,112.80654678468
"Arkansas Razorbacks",0.279212784637518,0.0844564022065168,0.441635477457401,0.249307001995783,0.181307238753662,0.747555674683561,0.167240668694915,71.5022652942177,115.385257175001
"Arkansas State Red Wolves",0.268694864127933,0.134448654321638,0.50787513761883,0.344122503149742,0.149063270273151,0.698519638461847,0.161171219473498,68.8252594521684,122.125314581505
"Arkansas-Fort Smith Lions",0.208531437557536,0.0973146708601833,0.556083833486762,0.19047619047619,0.125118862534521,0.5,0.13902095837169,71.9316002214839,112.606976281069
"Arkansas-Pine Bluff Golden Lions",0.209524204278381,0.149111253708352,0.446787709514834,0.243609484421782,0.151656913178162,0.756585624353646,0.183066754329998,72.7807532842403,114.014683500973
"Arlington Baptist Patriots",0.219882584192457,0.0258685393167596,0.620844943602231,0.326923076923077,0.155211235900558,0.541666666666667,0.232816853850837,77.3139903846154,125.462415686284
"Army Black Knights",0.226723509239773,0.125726903704367,0.519567789992197,0.268121462224194,0.111695907571213,0.586910267815493,0.193394549603187,62.6851767651279,117.710866011074
"Asbury Eagles",0.166725506521624,0.14107542859522,0.48735148060167,0.170731707317073,0.134662909113619,0.714285714285714,0.192375584448028,77.972472666106,112.219090928016
"Auburn Tigers",0.302040289913992,0.115807266034704,0.459195538703421,0.327471851315242,0.166825403513217,0.749756100417352,0.15469156962405,69.1703493776073,119.856006778938
"Aurora Spartans",0.182523599365379,0.0421208306227799,0.673933289964478,0.229166666666667,0.11934235343121,0.764705882352941,0.168483322491119,71.2236666666667,118.640339587497
"Austin Peay Governors",0.287699477801079,0.119905682059176,0.507729049695717,0.300803163269187,0.139988868462319,0.693266481771809,0.134676202729397,65.7938671252597,118.999928074769
"Ave Maria Gyrenes",0.144310617496823,0.216465926245234,0.649397778735703,0.260869565217391,0.0577242469987292,0.75,0.129879555747141,69.2949706227967,119.777812522363
"Avila Eagles",0.224218943278594,0.0757914516970931,0.529193999350621,0.301801801801802,0.110080992616856,0.738636363636364,0.265276237759089,67.2306060606061,120.456162470225
"BYU Cougars",0.263499247290224,0.162020072349101,0.498775412342154,0.327635534351531,0.116541752298656,0.724818081424894,0.155959823130414,68.6491420649182,119.679630741055
